index,column,value,z_score,timestamp,method
25,co_gt,6.9,3.4603310570327017,2004-03-11 19:00:00,z_score
50,co_gt,6.6,3.2433209499673956,2004-03-12 20:00:00,z_score
111,co_gt,8.1,4.328371485293925,2004-03-15 09:00:00,z_score
121,co_gt,8.0,4.256034782938823,2004-03-15 19:00:00,z_score
122,co_gt,6.5,3.170984247612294,2004-03-15 20:00:00,z_score
159,co_gt,6.6,3.2433209499673956,2004-03-17 09:00:00,z_score
169,co_gt,7.6,3.9666879735184146,2004-03-17 19:00:00,z_score
170,co_gt,6.7,3.315657652322497,2004-03-17 20:00:00,z_score
183,co_gt,6.6,3.2433209499673956,2004-03-18 09:00:00,z_score
697,co_gt,6.3,3.0263108429020895,2004-04-08 19:00:00,z_score
865,co_gt,7.3,3.7496778664531085,2004-04-15 19:00:00,z_score
889,co_gt,6.4,3.0986475452571924,2004-04-16 19:00:00,z_score
1190,co_gt,7.2,3.677341164098007,2004-04-29 08:00:00,z_score
1201,co_gt,6.5,3.170984247612294,2004-04-29 19:00:00,z_score
1489,co_gt,6.3,3.0263108429020895,2004-05-11 19:00:00,z_score
1646,co_gt,6.5,3.170984247612294,2004-05-18 08:00:00,z_score
2174,co_gt,6.4,3.0986475452571924,2004-06-09 08:00:00,z_score
4537,co_gt,6.7,3.315657652322497,2004-09-15 19:00:00,z_score
4657,co_gt,6.5,3.170984247612294,2004-09-20 19:00:00,z_score
4670,co_gt,7.3,3.7496778664531085,2004-09-21 08:00:00,z_score
4848,co_gt,6.7,3.315657652322497,2004-09-28 18:00:00,z_score
4849,co_gt,7.5,3.894351271163313,2004-09-28 19:00:00,z_score
4873,co_gt,6.3,3.0263108429020895,2004-09-29 19:00:00,z_score
4895,co_gt,6.5,3.170984247612294,2004-09-30 17:00:00,z_score
4896,co_gt,6.3,3.0263108429020895,2004-09-30 18:00:00,z_score
5065,co_gt,6.7,3.315657652322497,2004-10-07 19:00:00,z_score
5066,co_gt,7.0,3.5326677593878033,2004-10-07 20:00:00,z_score
5375,co_gt,8.0,4.256034782938823,2004-10-20 17:00:00,z_score
5376,co_gt,7.7,4.039024675873517,2004-10-20 18:00:00,z_score
5377,co_gt,6.8,3.387994354677599,2004-10-20 19:00:00,z_score
5424,co_gt,8.4,4.545381592359231,2004-10-22 18:00:00,z_score
5425,co_gt,6.8,3.387994354677599,2004-10-22 19:00:00,z_score
5495,co_gt,7.9,4.183698080583721,2004-10-25 17:00:00,z_score
5496,co_gt,8.4,4.545381592359231,2004-10-25 18:00:00,z_score
5497,co_gt,8.0,4.256034782938823,2004-10-25 19:00:00,z_score
5498,co_gt,6.4,3.0986475452571924,2004-10-25 20:00:00,z_score
5519,co_gt,8.4,4.545381592359231,2004-10-26 17:00:00,z_score
5520,co_gt,9.5,5.3410853182653515,2004-10-26 18:00:00,z_score
5567,co_gt,6.5,3.170984247612294,2004-10-28 17:00:00,z_score
5640,co_gt,6.6,3.2433209499673956,2004-10-31 18:00:00,z_score
5684,co_gt,7.5,3.894351271163313,2004-11-02 14:00:00,z_score
5687,co_gt,6.8,3.387994354677599,2004-11-02 17:00:00,z_score
5688,co_gt,7.9,4.183698080583721,2004-11-02 18:00:00,z_score
5689,co_gt,8.0,4.256034782938823,2004-11-02 19:00:00,z_score
5690,co_gt,9.2,5.124075211200045,2004-11-02 20:00:00,z_score
5757,co_gt,8.0,4.256034782938823,2004-11-05 18:00:00,z_score
5830,co_gt,6.6,3.2433209499673956,2004-11-08 19:00:00,z_score
6040,co_gt,10.2,5.847442234751065,2004-11-17 18:00:00,z_score
6083,co_gt,7.5,3.894351271163313,2004-11-19 17:00:00,z_score
6084,co_gt,7.2,3.677341164098007,2004-11-19 18:00:00,z_score
6085,co_gt,8.3,4.473044890004129,2004-11-19 19:00:00,z_score
6086,co_gt,8.6,4.690054997069434,2004-11-19 20:00:00,z_score
6192,co_gt,6.8,3.387994354677599,2004-11-24 19:00:00,z_score
6235,co_gt,6.4,3.0986475452571924,2004-11-26 19:00:00,z_score
6236,co_gt,7.7,4.039024675873517,2004-11-26 20:00:00,z_score
6328,co_gt,6.3,3.0263108429020895,2004-11-30 19:00:00,z_score
6329,co_gt,6.8,3.387994354677599,2004-11-30 20:00:00,z_score
6374,co_gt,6.6,3.2433209499673956,2004-12-02 21:00:00,z_score
6394,co_gt,6.9,3.4603310570327017,2004-12-03 17:00:00,z_score
6611,co_gt,6.3,3.0263108429020895,2004-12-12 18:00:00,z_score
6855,co_gt,6.6,3.2433209499673956,2004-12-23 17:00:00,z_score
6868,co_gt,6.6,3.2433209499673956,2004-12-24 10:00:00,z_score
6869,co_gt,6.5,3.170984247612294,2004-12-24 11:00:00,z_score
6871,co_gt,6.9,3.4603310570327017,2004-12-24 13:00:00,z_score
6872,co_gt,7.9,4.183698080583721,2004-12-24 14:00:00,z_score
6874,co_gt,6.7,3.315657652322497,2004-12-24 16:00:00,z_score
6875,co_gt,6.8,3.387994354677599,2004-12-24 17:00:00,z_score
6876,co_gt,6.7,3.315657652322497,2004-12-24 18:00:00,z_score
6877,co_gt,6.4,3.0986475452571924,2004-12-24 19:00:00,z_score
6878,co_gt,6.8,3.387994354677599,2004-12-24 20:00:00,z_score
7778,co_gt,6.8,3.387994354677599,2005-01-31 19:00:00,z_score
7779,co_gt,6.8,3.387994354677599,2005-01-31 20:00:00,z_score
7815,co_gt,6.7,3.315657652322497,2005-02-02 09:00:00,z_score
7848,co_gt,6.7,3.315657652322497,2005-02-03 18:00:00,z_score
7849,co_gt,6.4,3.0986475452571924,2005-02-03 19:00:00,z_score
8276,co_gt,6.3,3.0263108429020895,2005-02-21 20:00:00,z_score
8779,co_gt,6.5,3.170984247612294,2005-03-14 19:00:00,z_score
8780,co_gt,6.5,3.170984247612294,2005-03-14 20:00:00,z_score
8803,co_gt,6.3,3.0263108429020895,2005-03-15 19:00:00,z_score
8804,co_gt,7.4,3.8220145688082114,2005-03-15 20:00:00,z_score
8947,co_gt,6.4,3.0986475452571924,2005-03-21 19:00:00,z_score
8996,co_gt,7.2,3.677341164098007,2005-03-23 20:00:00,z_score
9020,co_gt,7.5,3.894351271163313,2005-03-24 20:00:00,z_score
4491,nox_gt,891.0,3.3424278810376125,2004-09-13 21:00:00,z_score
5375,nox_gt,895.0,3.362936614933539,2004-10-20 17:00:00,z_score
5376,nox_gt,826.0,3.0091609552287992,2004-10-20 18:00:00,z_score
5496,nox_gt,860.0,3.183485193344178,2004-10-25 18:00:00,z_score
5519,nox_gt,918.0,3.4808618348351192,2004-10-26 17:00:00,z_score
5520,nox_gt,952.0,3.655186072950498,2004-10-26 18:00:00,z_score
5681,nox_gt,844.0,3.1014502577604706,2004-11-02 11:00:00,z_score
5690,nox_gt,859.0,3.1783580098701965,2004-11-02 20:00:00,z_score
5757,nox_gt,852.0,3.1424677255523243,2004-11-05 18:00:00,z_score
6008,nox_gt,892.0,3.347555064511594,2004-11-16 08:00:00,z_score
6009,nox_gt,839.0,3.075814340390562,2004-11-16 10:00:00,z_score
6035,nox_gt,878.0,3.2757744958758495,2004-11-17 12:00:00,z_score
6036,nox_gt,905.0,3.4142084496733567,2004-11-17 13:00:00,z_score
6038,nox_gt,858.0,3.173230826396215,2004-11-17 15:00:00,z_score
6039,nox_gt,839.0,3.075814340390562,2004-11-17 16:00:00,z_score
6053,nox_gt,992.0,3.860273411909768,2004-11-18 08:00:00,z_score
6054,nox_gt,870.0,3.2347570280839957,2004-11-18 12:00:00,z_score
6085,nox_gt,832.0,3.0399240560726897,2004-11-19 19:00:00,z_score
6086,nox_gt,881.0,3.291156046297795,2004-11-19 20:00:00,z_score
6108,nox_gt,870.0,3.2347570280839957,2004-11-20 18:00:00,z_score
6147,nox_gt,846.0,3.111704624708434,2004-11-22 09:00:00,z_score
6149,nox_gt,884.0,3.30653759671974,2004-11-22 11:00:00,z_score
6151,nox_gt,896.0,3.368063798407521,2004-11-22 13:00:00,z_score
6152,nox_gt,953.0,3.6603132564244802,2004-11-22 14:00:00,z_score
6153,nox_gt,980.0,3.798747210221987,2004-11-22 15:00:00,z_score
6154,nox_gt,884.0,3.30653759671974,2004-11-22 21:00:00,z_score
6165,nox_gt,920.0,3.4911162017830826,2004-11-23 08:00:00,z_score
6166,nox_gt,980.0,3.798747210221987,2004-11-23 09:00:00,z_score
6167,nox_gt,999.0,3.89616369622764,2004-11-23 12:00:00,z_score
6168,nox_gt,955.0,3.6705676233724436,2004-11-23 13:00:00,z_score
6169,nox_gt,933.0,3.557769586944845,2004-11-23 15:00:00,z_score
6170,nox_gt,898.0,3.3783181653554846,2004-11-23 16:00:00,z_score
6171,nox_gt,866.0,3.2142482941880686,2004-11-23 22:00:00,z_score
6191,nox_gt,865.0,3.209121110714087,2004-11-24 18:00:00,z_score
6192,nox_gt,936.0,3.5731511373667906,2004-11-24 19:00:00,z_score
6204,nox_gt,911.0,3.444971550517247,2004-11-25 08:00:00,z_score
6205,nox_gt,845.0,3.1065774412344522,2004-11-25 09:00:00,z_score
6228,nox_gt,864.0,3.2039939272401052,2004-11-26 08:00:00,z_score
6229,nox_gt,960.0,3.6962035407423524,2004-11-26 09:00:00,z_score
6230,nox_gt,856.0,3.1629764594482515,2004-11-26 11:00:00,z_score
6231,nox_gt,854.0,3.1527220925002877,2004-11-26 12:00:00,z_score
6232,nox_gt,854.0,3.1527220925002877,2004-11-26 13:00:00,z_score
6233,nox_gt,949.0,3.639804522528553,2004-11-26 14:00:00,z_score
6234,nox_gt,932.0,3.5526424034708635,2004-11-26 15:00:00,z_score
6235,nox_gt,866.0,3.2142482941880686,2004-11-26 19:00:00,z_score
6236,nox_gt,947.0,3.62955015558059,2004-11-26 20:00:00,z_score
6296,nox_gt,948.0,3.6346773390545715,2004-11-29 09:00:00,z_score
6297,nox_gt,1000.0,3.9012908797016217,2004-11-29 12:00:00,z_score
6342,nox_gt,849.0,3.1270861751303793,2004-12-01 09:00:00,z_score
6343,nox_gt,861.0,3.1886123768181602,2004-12-01 10:00:00,z_score
6347,nox_gt,933.0,3.557769586944845,2004-12-01 14:00:00,z_score
6348,nox_gt,836.0,3.060432789968617,2004-12-01 15:00:00,z_score
6349,nox_gt,987.0,3.834637494539859,2004-12-01 16:00:00,z_score
6350,nox_gt,985.0,3.824383127591896,2004-12-01 17:00:00,z_score
6365,nox_gt,860.0,3.183485193344178,2004-12-02 09:00:00,z_score
